country,iso3c,region,cod_dep_inei,cod_dep_reniec,iso_3166_2_code,date,confirmed,deaths,recovered,discarded_cases,pob_2017
Peru,PER,NA,NA,NA,NA,06/03/2020,1,0,0,154,NA
Peru,PER,NA,NA,NA,NA,07/03/2020,6,0,0,213,NA
Peru,PER,NA,NA,NA,NA,09/03/2020,9,0,0,309,NA
Peru,PER,NA,NA,NA,NA,10/03/2020,11,0,0,335,NA
Peru,PER,NA,NA,NA,NA,11/03/2020,17,0,0,697,NA
Peru,PER,NA,NA,NA,NA,12/03/2020,22,0,0,883,NA
Peru,PER,AREQUIPA,4,4,PE-ARE,13/03/2020,2,0,0,NA,1382730
Peru,PER,CUSCO,8,7,PE-CUS,13/03/2020,1,0,0,NA,1205527
Peru,PER,HUANUCO,10,9,PE-HUC,13/03/2020,2,0,0,NA,721047
Peru,PER,ICA,11,10,PE-ICA,13/03/2020,1,0,0,NA,850765
Peru,PER,LIMA,15,14,PE-LIM,13/03/2020,32,0,0,NA,9485405
Peru,PER,NA,NA,NA,NA,13/03/2020,38,0,0,1194,NA
Peru,PER,AREQUIPA,4,4,PE-ARE,14/03/2020,2,0,0,NA,1382730
Peru,PER,CUSCO,8,7,PE-CUS,14/03/2020,1,0,0,NA,1205527
Peru,PER,HUANUCO,10,9,PE-HUC,14/03/2020,2,0,0,NA,721047
Peru,PER,ICA,11,10,PE-ICA,14/03/2020,1,0,0,NA,850765
Peru,PER,LIMA,15,14,PE-LIM,14/03/2020,37,0,0,NA,9485405
Peru,PER,NA,NA,NA,NA,14/03/2020,43,0,0,1502,NA
Peru,PER,ANCASH,2,2,PE-ANC,15/03/2020,1,0,0,NA,1083519
Peru,PER,AREQUIPA,4,4,PE-ARE,15/03/2020,2,0,0,NA,1382730
Peru,PER,CALLAO,7,24,PE-CAL,15/03/2020,2,0,0,NA,994494
Peru,PER,CUSCO,8,7,PE-CUS,15/03/2020,1,0,0,NA,1205527
Peru,PER,HUANUCO,10,9,PE-HUC,15/03/2020,2,0,0,NA,721047
Peru,PER,ICA,11,10,PE-ICA,15/03/2020,1,0,0,NA,850765
Peru,PER,LA LIBERTAD,13,12,PE-LAL,15/03/2020,1,0,0,NA,1778080
Peru,PER,LAMBAYEQUE,14,13,PE-LAM,15/03/2020,1,0,0,NA,1197260
Peru,PER,LIMA,15,14,PE-LIM,15/03/2020,58,0,0,NA,9485405
Peru,PER,PIURA,20,19,PE-PIU,15/03/2020,2,0,0,NA,1856809
Peru,PER,NA,NA,NA,NA,15/03/2020,71,0,0,1751,NA
Peru,PER,ANCASH,2,2,PE-ANC,16/03/2020,1,0,0,NA,1083519
Peru,PER,AREQUIPA,4,4,PE-ARE,16/03/2020,2,0,0,NA,1382730
Peru,PER,CALLAO,7,24,PE-CAL,16/03/2020,3,0,0,NA,994494
Peru,PER,CUSCO,8,7,PE-CUS,16/03/2020,1,0,0,NA,1205527
Peru,PER,HUANUCO,10,9,PE-HUC,16/03/2020,2,0,0,NA,721047
Peru,PER,ICA,11,10,PE-ICA,16/03/2020,1,0,0,NA,850765
Peru,PER,LA LIBERTAD,13,12,PE-LAL,16/03/2020,1,0,0,NA,1778080
Peru,PER,LAMBAYEQUE,14,13,PE-LAM,16/03/2020,3,0,0,NA,1197260
Peru,PER,LIMA,15,14,PE-LIM,16/03/2020,70,0,1,NA,9485405
Peru,PER,PIURA,20,19,PE-PIU,16/03/2020,2,0,0,NA,1856809
Peru,PER,NA,NA,NA,NA,16/03/2020,86,0,1,2229,NA
Peru,PER,ANCASH,2,2,PE-ANC,17/03/2020,1,0,0,NA,1083519
Peru,PER,AREQUIPA,4,4,PE-ARE,17/03/2020,2,0,0,NA,1382730
Peru,PER,CALLAO,7,24,PE-CAL,17/03/2020,4,0,0,NA,994494
Peru,PER,CUSCO,8,7,PE-CUS,17/03/2020,1,0,0,NA,1205527
Peru,PER,HUANUCO,10,9,PE-HUC,17/03/2020,2,0,0,NA,721047
Peru,PER,ICA,11,10,PE-ICA,17/03/2020,1,0,0,NA,850765
Peru,PER,LA LIBERTAD,13,12,PE-LAL,17/03/2020,1,0,0,NA,1778080
Peru,PER,LAMBAYEQUE,14,13,PE-LAM,17/03/2020,6,0,0,NA,1197260
Peru,PER,LIMA,15,14,PE-LIM,17/03/2020,96,0,0,NA,9485405
